,Average Temperature (C),Average Elevation (ft),Average Cloud Transmittance,Average Dew Point Temperature (C),Average Annual Precipitation (mm),Tree Canopy Cover (%),Imperviousness (%),Distance to Nearest Town Hall (m),Distance to Nearest Hospital (m),Distance to Nearest Police Station (m),Distance to Nearest Fire Department (m),Distance to Nearest University (m),Building Value ($),Agriculture Value ($),National Risk Index Composite Score,Expected Annual Loss Composite Score,Social Vulnerability Score,Community Resilience Score,Distance to Closest Major Center (m),Distance to Nearest Water Body or Coast (m),Percent Developed (%),FIPS,Median Age,Average Household Size,Median Household Income ($),Per Capita Income ($),Gini Index,Median Gross Rent as Percentage of Household Income (%),Median Gross Rent ($),Percentage of Population Unemployed (%),Percentage of Population without High School Diploma (%),Percentage of Population with Bachelor's Degree or More (%)
0,17.02333709094099,64.24822278745222,0.8019725843736393,10.91029297241579,319.0603064929733,14.270357352079666,13.897067448680378,0.0,0.0,0.0,0.0,41897.23399,612006639.4818257,0.0,41.786303572365256,29.343247965169837,77.04396535407672,14.69316707250502,0.0,728.6331087432844,37.47800586510264,6037599000,42.1,2.49,74028.0,34010.0,0.4273,27.89999962,1541.0,0.04668534080298786,13.689547581903277,23.01092043681747
1,17.24958076675598,164.0712224925034,0.7955245304149481,10.04722321198375,318.6876353845765,10.298777381558846,30.469028804486296,118.174251,7013.24597,3924.731849,916.228917,114.687432,944744058.2543766,0.0,72.8297582121894,71.01721618752711,55.540001165635374,15.43999964991279,118.174251,929.9424757113215,92.19984705582462,6037670416,50.0,2.71,97788.0,62610.0,0.5355,38.5,2127.0,4.006085192697769,4.191263282172373,58.50059031877214
2,17.34568302199175,174.9730637605559,0.7959398661013507,9.95719062093814,337.8004072528446,9.936099008650682,20.89297891147872,0.0,2345.921546,4195.432092,0.0,0.0,,,,,,,0.0,1210.8301039450869,67.63480237403712,6037670602,52.2,2.57,155688.0,75936.0,0.4781,26.20000076,3041.0,2.6477236034872456,2.0770920711004592,66.22728180547234
3,17.6680382139243,15.64689114555493,0.8017041843013499,10.54208282700459,328.6281133911397,1.698717948717951,72.64057507987229,5910.153141,1722.206022,395.551568,408.070357,0.0,204890249.85769752,0.0,61.79065750643039,43.59161025089705,95.42001289574948,15.439999494302338,5910.153141,3916.3894479457726,100.0,6037296210,28.1,3.11,40145.0,16645.0,0.4056,38.20000076,1042.0,13.189113747383113,36.9060773480663,15.359116022099448
4,17.60551084396745,10.37544054906322,0.7994690213944642,10.62190535160484,323.6085777905287,1.444073455759599,80.48494983277591,6251.957422,1588.732538,0.0,106.548927,617.854853,686157256.2519693,0.0,95.01379375816911,89.12323493300019,97.34999780048427,15.439999473542494,6251.957422,3481.521499391036,100.0,6037296220,34.3,2.51,30020.0,24111.0,0.5754,31.79999924,936.0,5.607020965382739,29.19655667144907,18.40028694404591
5,17.58307223215392,16.61705617056173,0.8004380069388978,10.64737567975917,322.1030736426131,0.489833641404806,84.55616942909772,6669.857264,1588.94807,308.091653,328.24146,1322.920737,473923339.62486,0.0,86.37087926229994,75.49146230766964,98.1699978840944,15.439999535582466,6669.857264,2776.5176387542047,100.0,6037297110,34.6,2.63,40000.0,20759.0,0.4912,37.5,1149.0,9.709543568464731,33.09641532756489,14.091470951792337
6,17.51822770284984,15.4871498031952,0.7979572845101486,10.67525330415669,320.2580682428157,0.677083333333335,81.07933194154488,7134.23017,1755.433569,1013.019053,235.492731,2026.289095,298912178.7516709,0.0,69.87822971758645,56.135942832851846,90.26000357105268,15.439999825825955,7134.23017,2056.291344299609,100.0,6037297120,36.9,2.79,49229.0,26693.0,0.4433,30.39999962,1229.0,8.909657320872274,25.975975975975974,15.965965965965967
7,17.44067280184641,18.16840536512667,0.789995375767808,10.79461275675342,314.3264291949849,4.705378973105137,52.132190942472405,7824.100515,2331.249404,1905.217042,734.387764,2914.915599,299213532.9662594,0.0,49.68249043388128,41.001009793288695,68.2699964072032,15.43999952704028,7824.100515,195.7612431886457,100.0,6037297601,34.4,2.29,55246.0,32186.0,0.4415,43.5,1670.0,8.118971061093246,6.887346502936466,32.40790176187934
8,17.53040695597629,2.884328301715386,0.794004908918671,10.76632367538386,312.8593134448153,0.183226422819709,82.63217842040653,4300.412601,2129.185577,36.402993,0.0,159.831921,1109811048.178091,664.999934793799,90.15363241009484,95.38952020484552,8.409999022774304,15.439998066422824,4300.412601,3370.272542697892,98.49952257536488,6037980031,43.2,2.04,,9255.0,0.2622,37.29999924,2300.0,0.0,7.9963235294117645,14.430147058823529
9,17.61958544515856,2.091833911160986,0.7962582552177124,10.75287034137807,307.7108258325336,0.124945071041453,83.23214939582594,929.403728,1105.701251,772.711428,0.0,1883.612933,776369113.5980029,1330.9997250083622,96.9057498498491,92.44073529916572,99.57998125729978,15.439996390397749,929.403728,1979.4925676952687,97.9274990845844,6037980033,,,,,,,,,0.0,0.0
10,17.69536039930625,24.25636753154016,0.8017681279769291,10.46075282864,329.9050357569603,4.829978586723777,70.86142001710856,3247.491738,2086.993451,0.0,118.886272,569.25136,1281084569.5945103,0.0,89.59354142880169,91.13488607006144,37.7099995140766,15.439999756280535,3247.491738,2159.0303657817376,99.44396920444824,6037295103,44.5,2.6,124663.0,54654.0,0.355,25.29999924,2364.0,3.8223140495867765,4.4493608652900685,36.750245821042284
11,17.6562599258634,43.96679462571974,0.8019955480338937,10.3941289984829,339.7312089176763,8.262337662337652,65.50821089023333,3787.885933,1277.030568,291.878697,0.0,541.808327,804729975.3097072,0.0,80.94467986891301,79.66272893193562,56.919998332315046,15.43999962469863,3787.885933,2640.038369952614,99.39498703543649,6037296300,42.7,2.45,80718.0,40284.0,0.439,37.29999924,2066.0,9.097772744431861,9.521218715995646,40.28835690968444
12,17.60757009694414,137.6292483006797,0.8004332856386495,9.973969709798054,353.8444765978168,10.008108108108113,58.27877697841728,3981.058072,359.100498,2243.01556,659.155486,1386.18449,408467244.3134361,0.0,58.1755696588729,53.539469707804834,59.189998672128254,15.439999592231144,3981.058072,2708.97630213245,100.0,6037296401,47.5,2.52,92571.0,46269.0,0.4268,27.79999924,1465.0,4.176904176904177,8.094645080946451,36.28061436280615
13,17.53175790261803,82.53484497917609,0.8010791257485816,10.26009588534577,347.445517368235,8.420482930890918,51.0782681099084,4307.03262,197.837338,964.443599,353.050402,929.568659,350725779.19175786,532.000006358287,50.541074665792,54.9381127828674,27.19000085902346,15.439999764917042,4307.03262,3190.6592954488383,89.25895087427143,6037296402,38.2,2.96,108929.0,39347.0,0.3491,28.60000038,1503.0,8.130939809926083,11.593573599652627,27.095093356491535
14,17.6211132777658,39.72932823593653,0.8019095287825622,10.44768482159488,337.2436140275682,4.467519685039379,63.59861932938853,5041.618153,855.344169,465.610246,31.418536,54.479415,317377673.59091306,0.0,70.90567442238702,58.6678250912435,87.2300029696516,15.439999511833104,5041.618153,3671.6484353571686,99.90138067061145,6037296500,34.3,2.64,35870.0,23022.0,0.5136,51.0,1236.0,11.092985318107667,27.961672473867594,17.073170731707318
15,17.6113275578094,33.42452717973118,0.8016710112136555,10.51986508932669,333.9060742997713,1.465166130760985,81.02350427350427,5563.499299,771.001231,551.226312,631.802667,628.007468,648546242.7010502,0.0,91.8339437335333,84.37654128623493,95.3799972094522,15.439999573266173,5563.499299,3324.262315412482,100.0,6037296600,37.7,2.73,40607.0,24015.0,0.5106,46.0,1439.0,13.636363636363635,31.45936498689193,11.127293912030293
